Number,Precinct,Gender,Race,Age,Bias Motivation
1,7,FEMALE,BLACK,14,ANTI-ASIAN
2,7,MALE,BLACK,15,ANTI-ASIAN
3,71,FEMALE,BLACK,15,ANTI-ASIAN
4,71,FEMALE,BLACK,16,ANTI-ASIAN
5,14,MALE,HISPANIC,20,ANTI-ASIAN
6,7,MALE,BLACK,21,ANTI-ASIAN
7,5,MALE,UNKNOWN,23,ANTI-ASIAN
8,120,FEMALE,BLACK,25,ANTI-ASIAN
9,107,FEMALE,BLACK,25,ANTI-ASIAN
10,107,FEMALE,BLACK,25,ANTI-ASIAN
11,107,FEMALE,BLACK,25,ANTI-ASIAN
12,107,FEMALE,BLACK,25,ANTI-ASIAN
13,62,MALE,BLACK,26,ANTI-ASIAN
14,7,MALE,HISPANIC,27,ANTI-ASIAN
15,7,MALE,HISPANIC,27,ANTI-ASIAN
16,62,MALE,WHITE,28,ANTI-ASIAN
17,62,MALE,WHITE,28,ANTI-ASIAN
18,62,MALE,WHITE,28,ANTI-ASIAN
19,7,FEMALE,BLACK,29,ANTI-ASIAN
20,7,MALE,HISPANIC,31,ANTI-ASIAN
21,7,FEMALE,BLACK,31,ANTI-ASIAN
22,109,MALE,ASIAN / PACIFIC ISLANDER,32,ANTI-ASIAN
23,109,MALE,ASIAN / PACIFIC ISLANDER,32,ANTI-ASIAN
24,109,MALE,ASIAN / PACIFIC ISLANDER,32,ANTI-ASIAN
25,109,MALE,ASIAN / PACIFIC ISLANDER,32,ANTI-ASIAN
26,114,MALE,HISPANIC,32,ANTI-ASIAN
27,14,MALE,HISPANIC,32,ANTI-ASIAN
28,5,MALE,HISPANIC,33,ANTI-ASIAN
29,7,FEMALE,WHITE,34,ANTI-ASIAN
30,7,MALE,BLACK,34,ANTI-ASIAN
31,14,MALE,HISPANIC,35,ANTI-ASIAN
32,77,MALE,BLACK,35,ANTI-ASIAN
33,77,MALE,BLACK,35,ANTI-ASIAN
34,14,MALE,BLACK,35,ANTI-ASIAN
35,14,MALE,WHITE,36,ANTI-ASIAN
36,14,MALE,BLACK,37,ANTI-ASIAN
37,72,FEMALE,BLACK,38,ANTI-ASIAN
38,7,MALE,HISPANIC,38,ANTI-ASIAN
39,7,MALE,BLACK,38,ANTI-ASIAN
40,7,MALE,BLACK,38,ANTI-ASIAN
41,7,MALE,BLACK,38,ANTI-ASIAN
42,84,MALE,HISPANIC,38,ANTI-ASIAN
43,7,MALE,HISPANIC,41,ANTI-ASIAN
44,70,MALE,ASIAN / PACIFIC ISLANDER,42,ANTI-ASIAN
45,7,MALE,BLACK,42,ANTI-ASIAN
46,19,FEMALE,WHITE,44,ANTI-ASIAN
47,10,MALE,BLACK,46,ANTI-ASIAN
48,109,MALE,HISPANIC,47,ANTI-ASIAN
49,7,MALE,BLACK,47,ANTI-ASIAN
50,13,MALE,WHITE,47,ANTI-ASIAN
51,14,MALE,HISPANIC,48,ANTI-ASIAN
52,25,MALE,BLACK,49,ANTI-ASIAN
53,5,FEMALE,BLACK,50,ANTI-ASIAN
54,61,MALE,BLACK,52,ANTI-ASIAN
55,24,MALE,BLACK,55,ANTI-ASIAN
56,14,MALE,BLACK,55,ANTI-ASIAN
57,9,MALE,HISPANIC,58,ANTI-ASIAN
58,5,MALE,BLACK,58,ANTI-ASIAN
59,14,MALE,HISPANIC,63,ANTI-ASIAN
60,120,MALE,WHITE,64,ANTI-BLACK
61,122,MALE,ASIAN / PACIFIC ISLANDER,18,ANTI-BLACK
62,122,MALE,ASIAN / PACIFIC ISLANDER,19,ANTI-BLACK
63,122,MALE,ASIAN / PACIFIC ISLANDER,22,ANTI-BLACK
64,71,MALE,WHITE,26,ANTI-BLACK
65,71,MALE,WHITE,31,ANTI-BLACK
66,14,MALE,WHITE,32,ANTI-BLACK
67,18,MALE,WHITE,33,ANTI-BLACK
68,76,MALE,WHITE,48,ANTI-BLACK
69,112,MALE,WHITE,51,ANTI-BLACK
70,112,MALE,WHITE,51,ANTI-BLACK
71,120,MALE,WHITE,64,ANTI-BLACK
72,120,MALE,WHITE,64,ANTI-BLACK
73,120,MALE,WHITE,64,ANTI-BLACK
74,120,MALE,WHITE,64,ANTI-BLACK
75,120,MALE,WHITE,64,ANTI-BLACK
76,120,MALE,WHITE,64,ANTI-BLACK
77,113,MALE,WHITE,72,ANTI-BLACK
78,26,FEMALE,BLACK,23,ANTI-CATHOLIC
79,102,FEMALE,BLACK,23,ANTI-CATHOLIC
80,45,FEMALE,BLACK,23,ANTI-CATHOLIC
81,62,MALE,ASIAN / PACIFIC ISLANDER,29,ANTI-CATHOLIC
82,72,MALE,ASIAN / PACIFIC ISLANDER,29,ANTI-CATHOLIC
83,83,MALE,BLACK,29,ANTI-FEMALE
84,90,MALE,BLACK,29,ANTI-FEMALE
85,90,MALE,BLACK,29,ANTI-FEMALE
86,90,MALE,BLACK,29,ANTI-FEMALE
87,90,MALE,BLACK,29,ANTI-FEMALE
88,90,MALE,BLACK,29,ANTI-FEMALE
89,90,MALE,BLACK,29,ANTI-FEMALE
90,90,MALE,BLACK,29,ANTI-FEMALE
91,90,MALE,BLACK,29,ANTI-FEMALE
92,40,MALE,BLACK,18,ANTI-FEMALE HOMOSEXUAL (LESBIAN)
93,24,MALE,BLACK,23,ANTI-GENDER NON-CONFORMING
94,26,MALE,BLACK,54,ANTI-GENDER NON-CONFORMING
95,110,MALE,HISPANIC,55,ANTI-GENDER NON-CONFORMING
96,60,MALE,BLACK,30,ANTI-HISPANIC
97,106,FEMALE,WHITE,43,ANTI-HISPANIC
98,106,FEMALE,WHITE,43,ANTI-HISPANIC
99,42,MALE,BLACK,47,ANTI-HISPANIC
100,32,MALE,HISPANIC,14,ANTI-JEWISH
101,66,MALE,ASIAN / PACIFIC ISLANDER,19,ANTI-JEWISH
102,66,MALE,ASIAN / PACIFIC ISLANDER,19,ANTI-JEWISH
103,61,MALE,BLACK,20,ANTI-JEWISH
104,66,MALE,ASIAN / PACIFIC ISLANDER,20,ANTI-JEWISH
105,66,MALE,ASIAN / PACIFIC ISLANDER,20,ANTI-JEWISH
106,66,MALE,ASIAN / PACIFIC ISLANDER,20,ANTI-JEWISH
107,66,MALE,ASIAN / PACIFIC ISLANDER,20,ANTI-JEWISH
108,66,MALE,ASIAN / PACIFIC ISLANDER,20,ANTI-JEWISH
109,66,MALE,ASIAN / PACIFIC ISLANDER,20,ANTI-JEWISH
110,66,MALE,ASIAN / PACIFIC ISLANDER,20,ANTI-JEWISH
111,79,MALE,HISPANIC,22,ANTI-JEWISH
112,18,MALE,ASIAN / PACIFIC ISLANDER,23,ANTI-JEWISH
113,7,MALE,ASIAN / PACIFIC ISLANDER,23,ANTI-JEWISH
114,7,MALE,ASIAN / PACIFIC ISLANDER,24,ANTI-JEWISH
115,7,MALE,ASIAN / PACIFIC ISLANDER,24,ANTI-JEWISH
116,7,MALE,ASIAN / PACIFIC ISLANDER,24,ANTI-JEWISH
117,7,MALE,UNKNOWN,25,ANTI-JEWISH
