PRECINCT,60 YEARS OLD OR MORE,ANTI-ARAB,ANTI-ASIAN,ANTI-BLACK,ANTI-CATHOLIC,ANTI-FEMALE HOMOSEXUAL (LESBIAN),ANTI-HINDU,ANTI-HISPANIC,ANTI-ISLAMIC,ANTI-JEWISH,ANTI-LGBT,ANTI-MALE HOMOSEXUAL (GAY),ANTI-MULTI-RELIGIOUS GROUPS,ANTI-OTHER ETHNICITY/NATIONAL ORIGIN/ANCESTRY,"ANTI-RELIGIOUS PRACTICE, GENERALLY",ANTI-TRANSGENDER,ANTI-WHITE,Total
1,0,0,0,0,1,0,0,0,0,9,0,1,0,0,0,0,0,11
5,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3
6,0,0,1,2,0,0,0,0,0,2,0,1,0,0,0,0,1,7
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,4
13,0,0,0,1,0,0,0,0,0,5,0,2,0,0,0,0,0,8
14,0,2,1,1,0,0,0,0,0,8,0,0,0,1,0,0,0,13
17,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,4
18,0,0,0,1,0,0,0,0,0,5,0,1,0,1,0,0,0,8
19,0,1,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,10
20,0,0,0,2,0,0,0,0,0,5,0,0,0,2,0,0,0,9
22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
24,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,4
25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,5
28,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,4
30,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,3
32,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
33,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3
34,0,0,0,1,0,0,0,0,0,2,0,0,1,1,0,0,1,6
40,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4
41,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
42,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3
43,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2
44,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,5
45,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3
46,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,5
49,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
50,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4
52,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2
60,0,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,5
61,0,1,2,3,0,0,0,0,0,8,0,0,0,1,0,0,0,15
62,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,6
63,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2
66,0,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,6
67,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,3
68,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
69,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
70,0,0,0,1,0,0,0,0,0,9,0,0,0,1,0,0,0,11
71,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,7
72,0,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,5
75,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,1,0,6
76,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3
77,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,4
78,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
79,0,0,0,1,0,0,0,0,0,2,0,5,0,0,0,0,0,8
81,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2
83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3
84,0,0,0,1,0,1,0,0,0,3,0,2,0,0,0,0,0,7
88,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,1,5
90,0,0,0,0,0,0,0,0,0,9,0,2,0,1,0,0,0,12
94,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3
100,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2
101,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
102,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,5
103,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,5
104,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,0,6
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4
108,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,4
109,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,4
110,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,6
111,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
112,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2
