Precinct,Anti-Arab,Anti-Asian,Anti-Black,Anti-Catholic,Anti-Female Homosexual (Lesbian),Anti-Hispanic,Anti-Islamic (Muslim),Anti-Jewish,Anti-Male Homosexual (Gay),Anti-Mormon,Anti-Multi-Racial Groups,Anti-Other Christian,Anti-Other Ethnicity/National Origin,Anti-Other Religion,Anti-Transgender,Anti-White,Total
1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,1,6
5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3
6,0,0,0,0,0,1,1,5,2,0,0,0,0,0,2,0,11
7,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,4
9,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,7
10,0,0,1,0,0,0,1,6,1,0,0,0,0,0,0,0,9
13,0,0,2,0,0,1,0,3,1,0,0,1,0,0,0,0,8
14,0,1,0,0,0,0,0,3,1,0,0,0,1,0,1,1,8
17,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,4
18,0,0,4,0,0,0,2,5,3,0,0,0,0,1,1,0,16
19,0,0,1,0,0,0,0,5,1,0,0,0,1,0,0,0,8
20,0,0,1,0,0,0,0,6,1,0,0,0,0,0,0,1,9
22,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
23,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4
24,0,0,2,0,0,0,0,12,1,0,0,0,0,0,0,0,15
25,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,4
26,0,0,0,0,0,0,0,5,0,0,0,1,0,0,1,0,7
28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
30,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2
32,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,4
33,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,6
34,0,0,0,0,0,1,0,5,1,0,0,0,0,1,0,0,8
40,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,1,5
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,3
45,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
47,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
48,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2
49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,3
52,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,3
60,0,0,1,0,0,0,0,10,1,0,0,0,0,0,0,0,12
61,0,0,4,0,0,0,0,4,1,0,0,0,0,0,0,1,10
62,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4
63,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
66,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,14
67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
68,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,5
