Precinct,Anti-Arab,Anti-Asian,Anti-Black,Anti-Buddhist,Anti-Catholic,Anti-Female Homosexual (Lesbian),Anti-Hispanic,Anti-Islamic (Muslim),Anti-Jehovah's Witness,Anti-Jewish,Anti-LGBT (mixed group),Anti-Male Homosexual (Gay),Anti-Multi-Racial Groups,Anti-Other Ethnicity/National Origin,Anti-Other Religion,Anti-Physical Disability,Anti-Transgender,Anti-White,Grand Total
1,0,0,1,0,0,1,0,1,0,7,0,0,0,1,0,0,0,1,12
5,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,6
6,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,4,7
7,0,0,0,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,7
9,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4
10,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,7
13,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,2,12
14,1,0,1,0,0,0,0,0,0,4,3,1,0,0,0,0,0,2,12
17,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,3
18,0,0,2,0,0,0,0,0,0,3,0,3,0,1,0,0,0,1,10
19,0,0,5,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,15
20,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5
22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
23,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2
24,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,5
25,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,5
26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
28,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,6
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,4
33,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,5
34,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,4
40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
41,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
42,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
43,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
44,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
45,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3
46,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
48,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,10
49,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
60,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9
61,3,1,1,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,17
62,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2
63,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,4
66,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,16
67,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,3
68,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,4
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,5
71,0,0,0,0,2,0,0,0,0,14,0,1,0,0,1,0,1,1,20
72,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,5
73,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,6
75,0,0,4,0,0,1,0,0,0,3,0,2,0,0,0,0,0,0,10
76,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,4
77,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,8
78,0,0,0,0,1,0,0,0,0,5,1,0,0,0,0,0,0,0,7
79,0,0,0,0,0,0,1,0,0,6,0,2,0,0,0,0,1,0,10
81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
83,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
84,0,0,3,0,0,0,0,1,0,4,1,1,0,0,0,0,1,0,11
88,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,6
90,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,12
94,0,0,0,0,1,0,0,0,0,15,0,2,0,0,0,0,0,0,18
100,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,3
101,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,3
102,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,3
103,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2
104,0,0,2,0,0,0,1,0,0,5,1,1,0,0,0,0,0,0,10
105,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
107,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,7
108,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5
109,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
110,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,5
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,7
113,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
114,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,6
115,0,0,1,0,0,0,0,0,0,3,0,3,0,1,1,0,0,0,9
120,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
121,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4
122,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3
123,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Grand Total,5,1,36,2,6,4,8,12,1,242,7,42,1,9,2,1,13,28,420
