PRECINCT,60 YEARS OLD OR MORE,ANTI-ARAB,ANTI-ASIAN,ANTI-BLACK,ANTI-CATHOLIC,ANTI-FEMALE,"ANTI-FEMALE HOMOSEXUAL
(GAY)",ANTI-GENDER NON CONFORMING,ANTI-HINDU,ANTI-HISPANIC,"ANTI-ISLAMIC
(MUSLIM)",ANTI-JEWISH,"ANTI-LGBT
(MIXED GROUP)","ANTI-MALE HOMOSEXUAL
(GAY)",ANTI-MULTI RACIAL GROUPS,ANTI-OTHER ETHNICITY,ANTI-RELIGIOUS PRACTICE GENERALLY,ANTI-TRANSGENDER,ANTI-WHITE,Total
1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,4
5,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,5
6,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5
7,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,5
9,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
10,0,0,1,4,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,14
13,0,0,3,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,7
14,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
17,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
18,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,4
19,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4
20,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,3
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
23,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
24,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,4
25,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
26,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3
28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
30,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,4
32,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
40,0,0,1,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,6
