PRECINCT,ANTI-ASIAN,ANTI-WHITE,ANTI-ARAB,ANTI-CATHOLIC,ANTI-BLACK,ANTI-FEMALE,ANTI-GENDER NON CONFORMING,ANTI-FEMALE HOMOSEXUAL (LESBIAN),ANTI-HISPANIC,ANTI-JEWISH,ANTI-LGBT (MIXED GROUP),ANTI-MALE HOMOSEXUAL (GAY),ANTI-MUSLIM,ANTI-OTHER ETHNICITY,ANTI-TRANSGENDER,Grand Total
1,4,0,0,0,0,0,0,0,2,11,0,1,0,0,0,18
5,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
6,1,1,0,1,0,0,0,1,0,4,0,6,0,0,0,14
7,6,1,0,0,1,0,0,0,0,5,0,1,0,0,0,14
9,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8
10,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,5
13,7,0,0,0,0,0,0,1,0,5,1,3,0,1,1,19
14,19,1,0,0,1,0,0,1,0,9,0,7,0,0,0,38
17,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7
18,4,0,0,0,2,0,0,0,0,6,0,5,0,1,0,18
19,5,0,1,0,0,0,0,0,0,7,0,2,0,0,0,15
20,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5
22,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
23,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
24,1,0,0,0,0,0,2,0,0,4,0,2,0,1,0,10
25,2,1,0,0,0,0,0,0,0,7,0,1,1,0,1,13
26,2,0,0,1,1,0,0,0,0,3,0,1,0,1,0,9
28,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,4
30,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,3
32,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4
33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
34,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
40,0,2,0,1,1,0,0,0,0,0,0,2,0,0,0,6
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,5
43,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
44,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3
47,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,4
48,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,1,0,0,0,0,22,0,0,0,0,0,23
52,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3
60,1,0,0,0,1,0,0,0,1,2,0,1,0,0,0,6
61,3,0,0,0,0,0,0,0,0,4,0,2,1,0,0,10
62,5,0,0,1,0,0,0,0,0,6,0,0,1,0,0,13
63,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3
66,1,0,0,0,2,0,0,0,0,7,0,0,0,0,0,10
67,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,3
68,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1,0,0,0,2,0,0,0,0,7,0,0,0,0,0,10
71,1,0,0,0,1,0,0,0,0,6,0,0,0,0,0,8
72,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
73,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,3
75,2,0,0,0,0,0,0,1,1,0,0,1,1,0,1,7
76,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
77,2,0,0,0,2,0,0,0,0,1,0,2,0,0,0,7
78,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
79,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,5
81,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6
83,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3
84,2,1,0,0,1,0,0,0,0,1,0,1,0,1,0,7
88,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4
90,0,0,0,0,1,2,0,0,0,9,0,0,0,0,0,12
94,0,1,0,0,1,0,0,0,0,2,0,1,0,0,0,5
100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
101,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3
102,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,7
103,0,0,0,2,0,0,0,0,0,0,0,1,2,0,1,6
104,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3
105,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2
106,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,3
107,4,0,0,0,0,0,0,0,0,2,0,2,0,0,0,8
108,4,0,0,0,0,0,0,0,0,3,0,2,1,0,2,12
109,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0,9
110,1,0,0,1,0,0,0,0,0,6,0,0,1,0,2,11
111,3,0,0,0,1,0,0,0,0,3,0,0,0,0,0,7
112,1,0,0,1,2,0,0,0,1,6,0,0,0,1,0,12
113,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,4
114,4,0,0,0,0,0,0,0,0,2,0,4,0,0,0,10
115,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,5
120,2,0,0,0,4,0,0,0,0,2,0,0,0,0,0,8
121,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
122,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,5
123,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2
Grand Total,131,18,1,9,38,3,3,4,8,198,1,72,11,10,17,524
